Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
PHYS 29,02/01/24,15:00,02/01/24,15:50,False,Description,ILP 3310,False
ASTRO 1,02/02/24,11:00,02/02/24,11:50,False,Description,GIRV 1112,False
INT 86TK,02/02/24,13:00,02/02/24,13:50,False,Description,ILP 3209,False
PHYS 21,02/02/24,15:00,02/02/24,15:50,False,Description,GIRV 2129,False
ASTRO 1,02/05/24,14:00,02/05/24,15:15,False,Description,BRDA 1610,False
MATH 4A,02/06/24,08:00,02/06/24,09:15,False,Description,IV THEA1,False
PHYS 21,02/06/24,09:30,02/06/24,10:45,False,Description,BRDA 1640,False
INT 86VL,02/06/24,11:00,02/06/24,11:50,False,Description,HSSB 1236,False
PHYS 29,02/06/24,14:00,02/06/24,15:15,False,Description,ARTS 1356,False
ASTRO 1,02/07/24,14:00,02/07/24,15:15,False,Description,BRDA 1610,False
